Title,Zone,Responses,Households,Agree,Disagree,"Response
rate","Disagree -
respondents (%)","Tree Panel
Required?",Phase,,
Abbeydale Park Rise,B52 Dore,30,100,6,24,30%,80%,Yes,1,Response Rate,13.40%
Ashfurlong Close,B52 Dore,4,15,1,3,27%,75%,Yes,1,Agree,6.75%
Ashfurlong Road,B52 Dore,10,50,5,5,20%,50%,Yes,1,Disagree,6.65%
Blacka Moor Road,B52 Dore,6,33,2,4,18%,67%,Yes,1,,
Burlington Road,B52 Dore,4,40,2,2,10%,50%,Yes,1,,
Chatsworth Road,B52 Dore,19,60,4,15,32%,79%,Yes,1,,
Devonshire Drive,B52 Dore,1,11,0,1,9%,100%,Yes,1,,
Furniss Avenue,B52 Dore,6,133,1,5,5%,83%,Yes,1,,
King Ecgbert Road,B52 Dore,5,78,2,3,6%,60%,Yes,1,,
Marstone Crescent,B52 Dore,5,58,0,4,9%,80%,Yes,1,,
Rushley Close,B52 Dore,1,19,0,1,5%,100%,Yes,1,,
Rushley Drive,B52 Dore,6,47,3,3,13%,50%,Yes,1,,
The Grove,B52 Dore,11,66,4,7,17%,64%,Yes,1,,
Vernon Road,B52 Dore,8,50,3,5,16%,63%,Yes,1,,
Ashfurlong Drive,B52 Dore,4,15,4,0,27%,0%,No,1,,
Blacka Moor Crescent,B52 Dore,3,19,3,0,16%,0%,No,1,,
Bushey Wood Road,B52 Dore,15,126,9,6,12%,40%,No,1,,
Devonshire Road,B52 Dore,19,99,11,8,19%,42%,No,1,,
Kenwin Road,B52 Dore,1,27,1,0,4%,0%,No,1,,
Old Hay Close,B52 Dore,12,66,8,4,18%,33%,No,1,,
Stonecroft Road,B52 Dore,3,41,3,0,7%,0%,No,1,,
The Quadrant,B52 Dore,5,45,5,0,11%,0%,No,1,,
Totley Brook Road,B52 Dore,8,213,7,1,4%,13%,No,1,,
Adelaide Road,B54 Carterknowle,17,30,7,10,57%,59%,Yes,2,,
Barker's Road,B54 Carterknowle,8,33,3,5,24%,63%,Yes,2,,
Bowood Road,A13 Fulwood,13,55,1,12,24%,92%,Yes,2,,
Briar Road,B54 Carterknowle,17,37,0,17,46%,100%,Yes,2,,
Brincliffe Gardens,B54 Carterknowle,3,17,1,2,18%,67%,Yes,2,,
Chelsea Road,B54 Carterknowle,12,106,3,8,11%,67%,Yes,2,,
Edgebrook Road,B54 Carterknowle,8,25,2,6,32%,75%,Yes,2,,
Edgedale Road,B54 Carterknowle,18,126,2,16,14%,89%,Yes,2,,
Firth Park Avenue,B21 Firth Park,1,23,0,1,4%,100%,Yes,2,,
Gatefield Road,B54 Carterknowle,1,47,0,1,2%,100%,Yes,2,,
Glentilt Road,B54 Carterknowle,8,37,4,4,22%,50%,Yes,2,,
Hunter House Road,B54 Carterknowle,33,196,9,23,17%,70%,Yes,2,,
Ladysmith Avenue,B54 Carterknowle,11,29,1,10,38%,91%,Yes,2,,
Myrtle Road,B63 Lowfield,17,245,7,10,7%,59%,Yes,2,,
Raven Road,B54 Carterknowle,4,37,0,4,11%,100%,Yes,2,,
Rivelin Valley Road,A21 Manchester Road,6,54,3,3,11%,50%,Yes,2,,
Rustlings Road,A13 Fulwood,65,103,6,59,63%,91%,Yes,2,,
Sandford Grove Road,B54 Carterknowle,13,108,5,8,12%,62%,Yes,2,,
Stockarth Lane,B10 Oughtibridge,6,43,2,4,14%,67%,Yes,2,,
Struan Road,B54 Carterknowle,11,72,5,6,15%,55%,Yes,2,,
Swaledale Road,B54 Carterknowle,25,63,12,13,40%,52%,Yes,2,,
Wayland Road,A13 Fulwood,11,98,1,10,11%,91%,Yes,2,,
Bannerdale Road,B54 Carterknowle,32,272,32,13,12%,41%,No,2,,
Carter Knowle Avenue,B54 Carterknowle,12,73,9,2,16%,17%,No,2,,
Crag View Crescent,B10 Oughtibridge,0,1,0,0,0%,0%,No,2,,
Heeley Bank Road,B63 Lowfield,3,82,2,1,4%,33%,No,2,,
Lyndhurst Road,B54 Carterknowle,2,0,2,0,9%,0%,No,2,,
Manchester Road,A21 Manchester Road,14,1,12,2,10%,14%,No,2,,
Marden Road,B54 Carterknowle,0,0,0,0,0%,0%,No,2,,
Millthorpe Road,B21 Firth Park,0,0,0,0,0%,0%,No,2,,
Moffatt Road,B63 Lowfield,3,43,2,1,7%,33%,No,2,,
Montrose Road,B54 Carterknowle,3,1,3,0,5%,0%,No,2,,
Mortimer Road,A19 Bradfield,1,0,1,0,10%,0%,No,2,,
Newfield Green Lane,B63 Lowfield,5,72,3,2,7%,40%,No,2,,
Owler Gate,B10 Oughtibridge,2,0,2,0,20%,0%,No,2,,
Quarry Lane,B54 Carterknowle,17,47,9,8,36%,47%,No,2,,
Spurr Street,B63 Lowfield,1,0,1,0,3%,0%,No,2,,
Willington Road,B21 Firth Park,1,0,1,0,3%,0%,No,2,,
Wincobank Avenue,B21 Firth Park,5,151,3,2,3%,40%,No,2,,
Basford Street,B28 Attercliffe,2,79,1,1,3%,50%,Yes,3,,
Birley Moor Close,B75 Birley,4,9,1,2,44%,50%,Yes,3,,
Fern Road,B34 Walkley Bank,1,25,0,1,4%,100%,Yes,3,,
Northfield Avenue,B34 Walkley Bank,7,12,0,7,58%,100%,Yes,3,,
Robertson Drive,B34 Walkley Bank,2,22,0,2,9%,100%,Yes,3,,
Seagrave Avenue,B69 Base Green,1,37,0,1,3%,100%,Yes,3,,
